,No,smiles
227,C6212,c1cc2c(cc1)c1cc3c(cc1cc2)c1c(cc3C#N)c2c(cccc2)cc1
228,C6213,c1cc2c(cc1)c1cc3c(cc1cc2)c1c(c(c3)C#N)c2c(cccc2)cc1
229,C6214,c1cc2c(cc1)c1cc3c(cc1cc2)c1c(cc3)c2c(ccc(c2)C#N)cc1
230,C6215,c1cc2c(cc1)c1cc3c(c(c1cc2)C#N)c1c(cc3)c2c(cccc2)cc1
231,C6216,c1cc2c(cc1)c1cc3c(cc1c(c2)C#N)c1c(cc3)c2c(cccc2)cc1
232,C6217,c1cc2c(cc1)c1cc3c(cc1cc2C#N)c1c(cc3)c2c(cccc2)cc1
233,C6218,c1cc2c(c(c1)C#N)c1cc3c(cc1cc2)c1c(cc3)c2c(cccc2)cc1
234,C6221,c1cc2c(cc1)c1c(cc2)c2c(c(cc3cc4ccccc4cc23)C#N)cc1
235,C6222,c1cc2c(cc1)c1c(cc2)c2c(cc(c3cc4ccccc4cc23)C#N)cc1
236,C6223,c1cc2c(cc1)c1c(cc2)c2c(ccc3c(c4ccccc4cc23)C#N)cc1
237,C6224,c1cc2c(cc1)c1c(cc2)c2c(ccc3cc4c(cccc4cc23)C#N)cc1
238,C6225,c1cc2c(cc1C#N)c1c(cc2)c2c(ccc3cc4ccccc4cc23)cc1
239,C6226,c1cc2c(cc1)c1c(c(c2)C#N)c2c(ccc3cc4ccccc4cc23)cc1
240,C6227,c1cc2c(cc1)c1c(cc2C#N)c2c(ccc3cc4ccccc4cc23)cc1
241,C6228,c1cc2c(cc1)c1c(cc2)c2c(ccc3cc4ccccc4cc23)cc1C#N
242,C6231,c1cc2c(cc1)c1cc3c(cc1cc2)c1c(ccc2c1cccc2)cc3C#N
243,C6232,c1cc2c(cc1)c1cc3c(cc1cc2)c1c(ccc2c1cccc2)c(c3)C#N
244,C6233,c1cc2c(cc1)c1cc3c(cc1cc2)c1c(c(cc2c1cccc2)C#N)cc3
245,C6234,c1cc2c(cc1)c1cc3c(cc1cc2)c1c(cc(c2c1cccc2)C#N)cc3
246,C6235,c1cc2c(cc1)c1cc3c(c(c1cc2)C#N)c1c(ccc2c1cccc2)cc3
247,C6236,c1cc2c(cc1)c1cc3c(cc1c(c2)C#N)c1c(ccc2c1cccc2)cc3
248,C6237,c1c(c2c(cc1)c1cc3c(cc1cc2)c1c(ccc2c1cccc2)cc3)C#N
249,C6238,c1cc2c(cc1)c1c(c3c(cc1cc2)c1c(ccc2c1cccc2)cc3)C#N
250,C6241,c1cc2c(c(c1)C#N)c1c3c4c(cccc4)ccc3c3ccccc3c1cc2
251,C6242,c1cc2c(cc1)c1c3c4c(ccc(c4)C#N)ccc3c3ccccc3c1cc2
252,C6243,c1cc2c(cc1)c1c3c4c(cccc4)c(cc3c3ccccc3c1cc2)C#N
253,C6244,c1cc2c(cc1)c1c3c4c(cccc4)cc(c3c3ccccc3c1cc2)C#N
254,C6245,c1cc2c(cc1)c1c3c4c(cccc4)ccc3c3c(cccc3c1cc2)C#N
255,C6246,c1cc2c(cc1)c1c3c4c(cccc4)ccc3c3cc(ccc3c1cc2)C#N
256,C6251,c1cc2c(cc1)c1c(cc2)cc(c2c1c1c(cccc1)c1ccccc21)C#N
257,C6252,c1cc2c(cc1)c1c(cc2)c(cc2c1c1c(cccc1)c1ccccc21)C#N
258,C6253,c1cc2c(cc1)c1c(cc2C#N)ccc2c1c1c(cccc1)c1ccccc21
259,C6254,c1c(c2c(cc1)c1c(cc2)ccc2c1c1c(cccc1)c1ccccc21)C#N
260,C6255,c1(cc2c(cc1)c1c(cc2)ccc2c1c1c(cccc1)c1ccccc21)C#N
261,C6256,c1cc2c(cc1)c1c(cc2)ccc2c1c1c(cccc1C#N)c1ccccc21
262,C6257,c1cc2c(cc1)c1c(cc2)ccc2c1c1c(ccc(c1)C#N)c1ccccc21
263,C6258,c1cc2c(cc1)c1c(cc2)ccc2c1c1c(cccc1)c1cccc(c21)C#N
264,C6259,c1cc2c(cc1)c1c(cc2)ccc2c1c1c(cccc1)c1ccc(cc21)C#N
265,C6261,c1cc2c(cc1)c1c(cc2)c2cc3ccc(cc3cc2c2c1cccc2)C#N
266,C6262,c1cc2c(cc1)c1c(cc2)c2cc3cccc(c3cc2c2c1cccc2)C#N
267,C6263,c1cc2c(cc1)c1c(cc2)c2cc3ccccc3c(c2c2c1cccc2)C#N
268,C6264,c1cc2c(cc1)c1c(cc2)c2cc3ccccc3cc2c2c1cccc2C#N
269,C6265,c1cc2c(cc1)c1c(cc2)c2cc3ccccc3cc2c2c1c(ccc2)C#N
270,C6266,c1cc2c(cc1C#N)c1c(cc2)c2cc3ccccc3cc2c2c1cccc2
271,C6267,c1cc2c(cc1)c1c(cc2C#N)c2cc3ccccc3cc2c2c1cccc2
272,C6268,c1cc2c(cc1)c1c(c(c2)C#N)c2cc3ccccc3cc2c2c1cccc2
273,C6271,c1cc2c(cc1)cc1c(cc(c3c1ccc1c3ccc3c1cccc3)C#N)c2
274,C6272,c1cc2c(cc1)cc1c(c(cc3c1ccc1c3ccc3c1cccc3)C#N)c2
275,C6273,c1cc2c(cc1)cc1c(ccc3c1ccc1c3ccc3c1cccc3)c2C#N
276,C6274,c1c(c2c(cc1)cc1c(ccc3c1ccc1c3ccc3c1cccc3)c2)C#N
277,C6275,c1cc2c(cc1)cc1c(ccc3c1c(cc1c3ccc3c1cccc3)C#N)c2
278,C6276,c1cc2c(cc1)cc1c(ccc3c1cc(c1c3ccc3c1cccc3)C#N)c2
279,C6277,c1cc2c(cc1)cc1c(ccc3c1ccc1c3ccc3c1cc(cc3)C#N)c2
