,BG,IP,EA,PAH DPO,smiles,no_longest,SDPO
C62.12,2.277477,5.314113,3.036636,3.45,c12c(cc3c(c1)c1c(cc3)cccc1)cc1c(c2)cc2c(c1)ccc(c2)C#N,sa,((sa*1))*(1/1)
C452,2.674743,5.5609077,2.8861647,2.85,c1ccc2c(c1)cc1c(c2)cc2c(c1)cc(cc2)C#N,sa,((sa*1))*(1/1)
C62.7,2.2361178,5.2866309,3.0505131,3.45,c12c(c(c3c(c1)c1c(cc3)cccc1)C#N)cc1c(c2)cc2c(c1)cccc2,sa,((sa*1))*(1/1)
C6191,3.8235492,6.092319,2.2687698,0.58,c1cc2c(cc1)c1c(cc2)c2c(c(c1)C#N)c1c(cccc1)c1ccccc21,sa,((s)+(sa*1)+(sa*1)+(s)+(s))*(1/5)
C6175,3.7054578,6.0047028,2.299245,1.37,c1cc2cc3c(cc2cc1)c1c(ccc(c1)C#N)c1cc2c(cccc2)cc31,s,((s)+(s))*(1/2)
C6181,3.1669719,5.7263445,2.5593726,2.37,c1cc2cc3c(cc2cc1)c1c(c(c3)C#N)c2c(cccc2)c2ccccc12,sa,((sa*1))*(1/1)
C6195,3.9721158,6.0659253,2.0938095,0.58,c1cc2c(cc1)c1c(cc2)c2c(cc1)c1c(cccc1)c1c(cccc21)C#N,sa,((sa*1)+(s)+(s)+(s)+(s))*(1/5)
C6331,3.5710404,5.9750439,2.4040035,1.17,c1cc2c(cc1)c1c(cc2C#N)c2c(cccc2)c2c1ccc1ccccc21,sa,((s)+(s)+(sa*1)+(sa*1)+(s))*(1/5)
C6131,2.995821,5.5328814,2.5370604,2.35,c1cc2cc3cc4c(cc3cc2cc1)c1c(cccc1)c1c(cccc41)C#N,s,((s))*(1/1)
C584,3.5043759,5.9374941,2.4331182,1.62,c1cc2cc3c(cc2cc1)c1cc2ccc(cc2cc1cc3)C#N,sa,((s)+(sa*1))*(1/2)
C423,3.9538851,6.2207502,2.2668651,0.5,c1cc2c(cc1)c1c(ccc3c(cccc13)C#N)cc2,sa,((sa*1)+(s)+(s))*(1/3)
C6294,3.6276372,5.896407,2.2687698,1.17,c1cc2c(cc1)c1c(cc2)c2c(cc1)ccc1c2ccc2c1c(ccc2)C#N,sa,((sa*1)+(s)+(s)+(s)+(s))*(1/5)
C6211,3.3539046,5.871918,2.5180134,1.78,c1cc2c(cc1)c1c(c3c(cc1cc2)c1c(cc3)c2c(cccc2)cc1)C#N,sa,((sa*1))*(1/1)
C6161,3.6962064,5.8523268,2.1561204,1.17,c1cc2c(cc1)c1c(c3ccccc23)c2c(c(ccc2)C#N)c2c1cccc2,sa,((s)+(sa*1)+(s)+(s)+(s))*(1/5)
C5122,2.135985,5.2425507,3.1065657,3.7,c1ccc2c(c1)cc1c(c2)cc2c(c1)cc1c(c2)cc(cc1)C#N,sa,((sa*1))*(1/1)
C561,3.8328006,5.983479,2.1506784,1.45,c1cc2cc3c(cc2cc1)c1c(cccc1)c1c(cccc31)C#N,s,((s))*(1/1)
C555,3.6921249,6.0882375,2.3961126,1.45,c1cc2c(cc1)c1cc3c(ccc4ccccc34)cc1cc2C#N,sa,((sa*1))*(1/1)
C6335,3.5906316,5.8368171,2.2461855,1.17,c1cc2c(cc1)c1c(cc2)c2c(c(ccc2)C#N)c2c1ccc1ccccc21,sa,((s)+(s)+(s)+(s)+(sa*1))*(1/5)
C62010,3.8902137,6.0746325,2.1844188,1.2,c1c(c2c(cc1)c1cc3c(cc1cc2)c1c(cccc1)c1ccccc31)C#N,s,((s))*(1/1)
C562,3.7190628,6.0414363,2.3223735,1.45,c1cc2cc3c(cc2cc1)c1c(cccc1)c1cc(ccc31)C#N,s,((s))*(1/1)
C62.2,2.3076801,5.2098987,2.9022186,3.45,c12c(cc3c(c1)c1c(cc3)ccc(c1)C#N)cc1c(c2)cc2c(c1)cccc2,s,((s))*(1/1)
C6243,3.6175695,6.0090564,2.3914869,1.17,c1cc2c(cc1)c1c3c4c(cccc4)c(cc3c3ccccc3c1cc2)C#N,sa,((s)+(sa*1)+(sa*1)+(s)+(s))*(1/5)
C63.1,2.9054838,5.6645778,2.759094,2.52,c12c(cc3c(c1)cc1c(c3)ccc3c1cc1c(c3)cccc1)cc(cc2)C#N,sa,((sa*1))*(1/1)
C541,3.8371542,6.0727278,2.2355736,0.83,c1cc2c(cc1)c1c(c(c2)C#N)c2ccccc2c2c1cccc2,sa,((s)+(sa*1)+(sa*1)+(s))*(1/4)
C573,3.7226001,6.0117774,2.2891773,1.45,c1(cc2c(cc1)c1cc3c(cc1cc2)c1c(cccc1)cc3)C#N,s,((s))*(1/1)
C5113,2.8614036,5.5554657,2.6940621,2.6,c12c(cc3c(c1)c1c(cc3)cc(cc1)C#N)cc1c(c2)cccc1,s,((s))*(1/1)
C6323,3.6902202,5.9981724,2.3079522,0.58,c1(cc2c(cc1)c1c(cc2)c2c(c3ccccc13)c1c(cccc1)cc2)C#N,sa,((s)+(s)+(s)+(sa*1)+(s))*(1/5)
